uuid,slug,name,website,found,num_files,errors,skipped
85f9faf1-58b2-4677-aa08-fbf0b8fcd5be,little-alley--85f9faf1,Little Alley,https://www.littlealley.nyc,1,2,skipped_existing_menu,1
152e60c4-15c5-4212-a5cf-f26a408a55e2,garden-caf,Garden Café,https://gardencafeny.com/,0,0,blocked_by_robots_home,0
b5da2043-2d48-479a-8475-97467c9fd9c9,il-passatore--b5da2043,Il Passatore,https://ilpassatorebrooklyn.com,1,1,skipped_existing_menu,1
1d7a7057-ba92-457c-ae0e-dde5ed0c8e4d,tick-tock-diner--1d7a7057,Tick Tock Diner,https://www.ticktockdinerny.com,1,1,pdf_exception:https://www.ticktockdinerny.com/s/BRUNCH-Menu-TICK-TOCK-DINER-NY-212-268-8444.pdf:name 'convert_pdf_to_html' is not defined;pdf_exception:https://www.ticktockdinerny.com/s/ALL-DAY-Menu-TICK-TOCK-DINER-NY-212-268-8444.pdf:name 'convert_pdf_to_html' is not defined;pdf_exception:https://www.ticktockdinerny.com/s/LATE-NIGHT-MENU-TICK-TOCK-DINER-NY-212-268-8444.pdf:name 'convert_pdf_to_html' is not defined;skipped_existing_menu,1
1e23141a-b008-4da4-bb8b-95f942f4e4c2,the-hamilon-inn,The Hamilon Inn,https://www.hamiltoninnjc.com/,0,0,error_page:https://www.hamiltoninnjc.com/menu:403;error_page:https://www.hamiltoninnjc.com/menus:403;error_page:https://www.hamiltoninnjc.com/our-menu:403;error_page:https://www.hamiltoninnjc.com/our-menus:403;error_page:https://www.hamiltoninnjc.com/food-menu:403;error_page:https://www.hamiltoninnjc.com/food-menus:403;error_page:https://www.hamiltoninnjc.com/dinner-menu:403;error_page:https://www.hamiltoninnjc.com/lunch-menu:403;error_page:https://www.hamiltoninnjc.com/brunch-menu:403;error_page:https://www.hamiltoninnjc.com/breakfast-menu:403;error_page:https://www.hamiltoninnjc.com/kids-menu:403;error_page:https://www.hamiltoninnjc.com/kid-menu:403;error_page:https://www.hamiltoninnjc.com/kids:403;error_page:https://www.hamiltoninnjc.com/drinks-menu:403;error_page:https://www.hamiltoninnjc.com/drink-menu:403;error_page:https://www.hamiltoninnjc.com/beverages-menu:403;error_page:https://www.hamiltoninnjc.com/beverage-menu:403;error_page:https://www.hamiltoninnjc.com/wine-menu:403;error_page:https://www.hamiltoninnjc.com/dessert-menu:403;error_page:https://www.hamiltoninnjc.com/specials:403;error_page:https://www.hamiltoninnjc.com/daily-specials:403;error_page:https://www.hamiltoninnjc.com/today-specials:403;error_page:https://www.hamiltoninnjc.com/buffet-menu:403;error_page:https://www.hamiltoninnjc.com/takeaway-menu:403;error_page:https://www.hamiltoninnjc.com/take-out-menu:403;error_page:https://www.hamiltoninnjc.com/delivery-menu:403;error_page:https://www.hamiltoninnjc.com/order-online/menu:403;error_page:https://www.hamiltoninnjc.com/order/menu:403;error_page:https://www.hamiltoninnjc.com/menu.html:403;error_page:https://www.hamiltoninnjc.com/menus.html:403;error_page:https://www.hamiltoninnjc.com/our-menu.html:403;error_page:https://www.hamiltoninnjc.com/food-menu.html:403;error_page:https://www.hamiltoninnjc.com/lunch-menu.html:403;error_page:https://www.hamiltoninnjc.com/dinner-menu.html:403;error_page:https://www.hamiltoninnjc.com/menu.pdf:403;error_page:https://www.hamiltoninnjc.com/menus.pdf:403;error_page:https://www.hamiltoninnjc.com/our-menu.pdf:403;error_page:https://www.hamiltoninnjc.com/food-menu.pdf:403;error_page:https://www.hamiltoninnjc.com/dinner-menu.pdf:403;error_page:https://www.hamiltoninnjc.com/lunch-menu.pdf:403;error_page:https://www.hamiltoninnjc.com/brunch-menu.pdf:403;error_page:https://www.hamiltoninnjc.com/breakfast-menu.pdf:403;error_page:https://www.hamiltoninnjc.com/kids-menu.pdf:403;error_page:https://www.hamiltoninnjc.com/drinks-menu.pdf:403;error_page:https://www.hamiltoninnjc.com/drink-menu.pdf:403;error_page:https://www.hamiltoninnjc.com/takeaway-menu.pdf:403;error_page:https://www.hamiltoninnjc.com/take-out-menu.pdf:403;error_page:https://www.hamiltoninnjc.com/dessert-menu.pdf:403;error_page:https://www.hamiltoninnjc.com/wine-menu.pdf:403;error_page:https://www.hamiltoninnjc.com/specials.pdf:403;error_page:https://www.hamiltoninnjc.com/buffet-menu.pdf:403;error_page:https://www.hamiltoninnjc.com/wp-content/uploads/menu.pdf:403;error_page:https://www.hamiltoninnjc.com/wp-content/uploads/menus.pdf:403;error_page:https://www.hamiltoninnjc.com/wp-content/uploads/2023/menu.pdf:403;error_page:https://www.hamiltoninnjc.com/wp-content/uploads/2024/menu.pdf:403;error_page:https://www.hamiltoninnjc.com/wp-content/uploads/2022/menu.pdf:403;error_page:https://www.hamiltoninnjc.com/files/menu.pdf:403;error_page:https://www.hamiltoninnjc.com/uploads/menu.pdf:403;error_page:https://www.hamiltoninnjc.com/download/menu.pdf:403;error_page:https://www.hamiltoninnjc.com/documents/menu.pdf:403;error_page:https://www.hamiltoninnjc.com/docs/menu.pdf:403;error_page:https://www.hamiltoninnjc.com/menu/dinner:403;error_page:https://www.hamiltoninnjc.com/menu/lunch:403;error_page:https://www.hamiltoninnjc.com/menu/brunch:403;error_page:https://www.hamiltoninnjc.com/menu/breakfast:403;error_page:https://www.hamiltoninnjc.com/menu/drinks:403;error_page:https://www.hamiltoninnjc.com/menu/beverages:403;error_page:https://www.hamiltoninnjc.com/menu/kids:403;error_page:https://www.hamiltoninnjc.com/menu/dessert:403;error_page:https://www.hamiltoninnjc.com/menu/specials:403;error_page:https://www.hamiltoninnjc.com/restaurant-menu:403;error_page:https://www.hamiltoninnjc.com/the-menu:403;error_page:https://www.hamiltoninnjc.com/menus-list:403;error_page:https://www.hamiltoninnjc.com/full-menu:403;error_page:https://www.hamiltoninnjc.com/complete-menu:403;error_page:https://www.hamiltoninnjc.com/menu-card:403;error_page:https://www.hamiltoninnjc.com/menu-list:403;error_page:https://www.hamiltoninnjc.com/food:403;error_page:https://www.hamiltoninnjc.com/eat:403;error_page:https://www.hamiltoninnjc.com/order:403;error_page:https://www.hamiltoninnjc.com/order-online:403,0
be1792c6-baa2-4fd1-a50c-76b0c0aa14d2,carnegie-diner-cafe--be1792c6,Carnegie Diner & Cafe,https://www.carnegiediner.com/location/carnegie-diner-central-park/,1,5,skipped_existing_menu,1
29931787-48d9-433f-82c9-ab5576ec70bb,pera--29931787,Pera,https://www.peranyc.com/,1,2,pdf_exception:https://www.peranyc.com/_files/ugd/2e620a_1668e5df15db4918b2b05c23df356e8e.pdf:name 'convert_pdf_to_html' is not defined;skipped_existing_menu,1
1729dba3-77af-4ed4-9698-16cd5b031a29,the-fox--1729dba3,The Fox,https://thefoxharlem.com/,1,3,fetch_failed:https://static.spotapps.co/spots/28/ae9fd98a7c4ecbb246b535e5863768/full:200:image/jpeg;skipped_existing_menu,1
1396c24a-ceee-4cd4-844e-4e56c5a0e3fb,hudson-station-bar-and-grill--1396c24a,Hudson Station Bar and Grill,https://www.hudsonstation.com,1,2,blocked_by_robots:https://s3.envato.com/files/344043819/MARKETICA_PREVIEW/16_marketica2_tablet_view_offcanvas_menu.png;skipped_existing_menu,1
fc6bbffd-5e48-445b-9bb4-320339f838b5,the-lexington-social--fc6bbffd,The Lexington Social,http://tlstapasbar.com,1,2,pdf_exception:http://tlstapasbar.com/assets/lunch.pdf:name 'convert_pdf_to_html' is not defined;pdf_exception:http://tlstapasbar.com/assets/brunch.pdf:name 'convert_pdf_to_html' is not defined;pdf_exception:http://tlstapasbar.com/assets/happyhour2.pdf:name 'convert_pdf_to_html' is not defined;pdf_exception:http://tlstapasbar.com/assets/tapas.pdf:name 'convert_pdf_to_html' is not defined;pdf_exception:http://tlstapasbar.com/assets/cocktails.pdf:name 'convert_pdf_to_html' is not defined;skipped_existing_menu,1
